Gene,Btz1,Btz2,X3MA1,X3MA2,Comb1,Comb2,DMSO1,DMSO2,Avg_Btz,Avg_3MA,Avg_Comb,Avg_DMSO,Btz/DMSO,3MA/DMSO,Comb/DMSO,plasma membrane [GO:0005886],cytosol [GO:0005829],extracellular exosome [GO:0070062],mitochondrion [GO:0005739],endosome [GO:0005768],Golgi apparatus [GO:0005794],lysosome [GO:0005764],nucleolus [GO:0005730],nucleoplasm [GO:0005654],endoplasmic reticulum [GO:0005783],peroxisome [GO:0005777],cytoskeleton [GO:0005856],centrosome [GO:0005813],spliceosomal complex [GO:0005681],proteasome complex [GO:0000502],ribosome [GO:0005840],vacuole [GO:0005773]
AAK1,3709726.581,3315879.652,2866100.39,3008325.365,2505736.53,2771733.857,4902225.298,4542320.986,3512803.117,2937212.878,2638735.194,4722273.142,0.743879698,0.621991314,0.558784957,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAR2,6743497.738,6820212.436,3970890.385,4540692.436,4821292.276,4614125.343,10813548.51,10817695.45,6781855.087,4255791.411,4717708.81,10815621.98,0.627042541,0.393485591,0.436193944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AARS1,214523641.5,202535772.8,136094119.5,133113893.9,125204039,140244169.5,262188687.6,252250981.1,208529707.1,134604006.7,132724104.2,257219834.3,0.810706172,0.523303372,0.515994828,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS2,5997697.19,5915437.607,4364232.49,5049701.342,4227212.41,4205932.179,7409335.731,6601826.208,5956567.399,4706966.916,4216572.295,7005580.97,0.850260303,0.671888161,0.601887597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,403253.0053,355140.5903,260200.7455,240702.4239,276733.1936,289794.2112,453709.6569,534144.0549,379196.7978,250451.5847,283263.7024,493926.8559,0.767718526,0.507062092,0.573493219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,17469407.6,15592299.76,10433178.35,11598769.44,19052258.96,17194354.73,9637800.365,10412503.16,16530853.68,11015973.89,18123306.84,10025151.76,1.648937999,1.098833629,1.80778379,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ABCA2,5914512.687,5782129.973,3446945.906,3757920.224,5177393.898,5643177.005,4677155.379,4699256.314,5848321.33,3602433.065,5410285.451,4688205.846,1.247454041,0.768403347,1.154020457,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ABCA5,1016379.899,947160.6991,778590.5412,831170.6537,847485.8108,944261.7759,995812.8479,1054215.782,981770.2991,804880.5974,895873.7934,1025014.315,0.957811305,0.785238397,0.874011007,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABCB10,32204024.41,32444063.12,19835782.97,19367651.48,23227266.64,24572281.82,27814079.16,28696003.86,32324043.77,19601717.23,23899774.23,28255041.51,1.144009778,0.693742291,0.845858755,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC1,5454578.253,5240171.519,3277440.543,3469149.559,3697586.179,3805465.619,4996412.609,4908318.056,5347374.886,3373295.051,3751525.899,4952365.333,1.079761796,0.681148264,0.757522042,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC4,2329373.358,2138698.819,1693983.858,1771071.571,1704189.132,1603167.917,2253073.173,2196257.199,2234036.089,1732527.714,1653678.524,2224665.186,1.004212275,0.778781331,0.743338159,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ABCD3,2886864.387,2757015.349,1839911.642,1993957.741,1858283.588,2057185.339,3040602.918,2649251.918,2821939.868,1916934.691,1957734.464,2844927.418,0.991919811,0.673807943,0.688149178,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ABCE1,12202728.36,12727347.1,9888455.973,10629004.57,9204504.188,9807929.538,16920216,17623849.65,12465037.73,10258730.27,9506216.863,17272032.83,0.721689095,0.593950369,0.550382052,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF1,5021387.499,6247136.521,5323209.456,5503716.343,4679395.433,4664460.491,7941319.746,7050474.016,5634262.01,5413462.899,4671927.962,7495896.881,0.751646147,0.722190151,0.623264705,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ABCF2,63755090.38,66743534.77,57087795.49,54670894.62,40361855.62,46128806.07,110243173.1,110055581.4,65249312.58,55879345.06,43245330.84,110149377.3,0.592371144,0.507305138,0.392606222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,8683794.982,8592313.26,7687502.667,8494445.082,6379644.814,6737088.744,13909940.79,11393915.78,8638054.121,8090973.875,6558366.779,12651928.29,0.682746055,0.639505196,0.51836895,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ABHD16A,1131066.592,1145828.654,1154049.668,1143876.048,984098.5873,994983.6218,1469272.468,1487034.005,1138447.623,1148962.858,989541.1046,1478153.237,0.770182411,0.777296176,0.669444196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABITRAM,25154425.18,24615899.11,17886894.87,17531384.83,18801391.05,19730166.24,26357193.66,25636188.16,24885162.14,17709139.85,19265778.64,25996690.91,0.957243452,0.681207463,0.741085806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABL1,1003692.62,860927.3159,717854.5216,778026.3347,774621.0516,859575.8332,947512.7242,951800.3634,932309.9677,747940.4281,817098.4424,949656.5438,0.981733842,0.787590454,0.860414692,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
ABRACL,68539.9773,61614.87475,57578.4483,70544.07035,52892.3303,55641.4526,89905.225,94096.4148,65077.42603,64061.25933,54266.89145,92000.8199,0.707357022,0.696311831,0.589852259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRAXAS1,3043918.743,3607956.746,2045956.285,2208011.624,2382327.924,2302050.179,3989220.87,3778996.413,3325937.744,2126983.954,2342189.051,3884108.641,0.856293696,0.547611859,0.603018419,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ACAA1,9205588.625,9784201.234,5281818.961,5035245.196,6441683.276,6222983.43,8492058.794,8377993.835,9494894.93,5158532.079,6332333.353,8435026.315,1.125650896,0.611560876,0.750718862,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ACAA2,12111835.04,12858558.59,11965323.73,11560207.97,7680617.9,9292421.013,17461926.63,16874333.19,12485196.81,11762765.85,8486519.457,17168129.91,0.727231031,0.685151261,0.494318222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACACA,21116752.99,20348123.41,17768968.1,19669695.99,18132418.79,17579542.83,22702934.04,23054927.56,20732438.2,18719332.05,17855980.81,22878930.8,0.90618038,0.818190859,0.780455213,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACACB,8758296.994,8086904.748,7367679.803,7910958.76,7204109.389,7276557.168,9189372.997,9669500.319,8422600.871,7639319.282,7240333.279,9429436.658,0.893224185,0.810156488,0.767843673,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAD8,1863436.165,1708988.058,1487284.893,1452688.005,1313462.931,1428203.817,2099603.694,2263806.424,1786212.111,1469986.449,1370833.374,2181705.059,0.818723,0.673778723,0.628331207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAD9,4841782.877,4601788.215,4414787.394,4774921.394,3779688.006,4055520.881,5980606.092,6084172.064,4721785.546,4594854.394,3917604.443,6032389.078,0.782738892,0.761697287,0.649428343,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADM,4972219.403,5204484.28,4402968.582,4313689.05,3464981.608,3600161.492,5630410.916,5659793.734,5088351.842,4358328.816,3532571.55,5645102.325,0.901374599,0.772054883,0.625776354,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADSB,1231247.719,1375502.138,1291259.707,1378134.872,1100091.446,1062302.518,1560243.36,1502353.404,1303374.929,1334697.289,1081196.982,1531298.382,0.851156733,0.871611506,0.706065516,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADVL,3432000.933,3101066.45,3147479.718,3159117.856,2453257.99,3008893.891,3501065.859,3746213.698,3266533.691,3153298.787,2731075.941,3623639.778,0.901450997,0.870202056,0.753683067,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
